1.83;547059.00;79800
2.41;431645.56;79813
2.12;471428.50;79825
1.93;547059.00;79839
2.41;414170.00;79852
2.02;450660.75;79864
1.63;547059.00;79878
2.41;431645.56;79890
1.93;494202.78;79903
2.12;494202.78;79917
2.41;414170.00;79929
1.73;519289.18;79942
2.22;471428.50;79954
2.22;414170.00;79968
1.83;494202.78;79980
2.32;383146.09;79993
2.22;431645.56;80007
1.83;519289.18;80019
2.22;431645.56;80032
2.02;471428.50;80046
1.93;547059.00;80058
2.41;398054.46;80071
1.83;494202.78;80083
2.02;612575.00;80097
2.41;414170.00;80109
1.93;519289.18;80122
2.12;612575.00;80136
2.22;414170.00;80148
1.83;547059.00;80161
2.22;450660.75;80174
2.22;431645.56;80187
2.02;547059.00;80200
2.41;450660.75;80212
2.12;450660.75;80226
1.83;547059.00;80238
2.32;450660.75;80251
2.02;471428.50;80264
1.93;519289.18;80277
2.41;414170.00;80290
1.93;494202.78;80303
2.02;494202.78;80316
2.81;414170.00;80328
1.83;519289.18;80342
2.02;494202.78;80355
2.32;414170.00;80367
1.83;547059.00;80380
2.12;450660.75;80393
2.22;450660.75;80406
1.83;547059.00;80419
2.32;431645.56;80432
2.12;450660.75;80445
1.83;547059.00;80457
2.32;431645.56;80471
2.02;471428.50;80483
2.02;519289.18;80496
2.41;414170.00;80509
1.73;494202.78;80522
2.12;494202.78;80535
2.41;414170.00;80547
1.83;519289.18;80561
2.32;471428.50;80574
2.32;450660.75;80586
1.83;547059.00;80600
2.22;471428.50;80612
2.12;450660.75;80625
1.83;547059.00;80638
2.41;450660.75;80651
2.02;494202.78;80664
1.83;547059.00;80676
2.41;414170.00;80690
1.93;471428.50;80702
2.02;547059.00;80715
2.32;414170.00;80729
1.83;547059.00;80741
2.12;494202.78;80754
2.32;414170.00;80766
1.63;547059.00;80780
2.32;471428.50;80793
2.22;450660.75;80805
1.63;547059.00;80819
2.32;494202.78;80831
2.02;450660.75;80844
1.83;577966.25;80857
2.32;431645.56;80870
1.83;494202.78;80883
1.93;547059.00;80896
2.41;431645.56;80909
1.93;547059.00;80921
2.12;519289.18;80934
2.32;450660.75;80948
1.63;519289.18;80960
2.32;494202.78;80973
2.32;431645.56;80986
1.73;547059.00;80999
2.32;471428.50;81012
2.12;431645.56;81025
1.83;547059.00;81038
2.32;450660.75;81050
2.02;471428.50;81063
1.93;577966.25;81077
2.32;431645.56;81089
1.93;471428.50;81102
2.02;547059.00;81115
2.41;431645.56;81128
1.83;612575.00;81141
2.12;494202.78;81154
2.32;494202.78;81167
1.63;471428.50;81179
2.22;471428.50;81192
2.22;356446.03;81206
1.83;547059.00;81218
2.02;450660.75;81231
2.12;450660.75;81244
1.83;547059.00;81257
2.32;450660.75;81269
2.02;431645.56;81283
1.83;547059.00;81296
2.32;431645.56;81308
1.93;494202.78;81321
2.02;494202.78;81334
2.32;431645.56;81347
1.83;547059.00;81360
2.22;494202.78;81373
2.32;398054.46;81386
1.73;547059.00;81398
2.22;471428.50;81412
2.12;431645.56;81425
1.73;577966.25;81437
2.32;450660.75;81451
2.12;450660.75;81463
1.83;612575.00;81476
2.41;431645.56;81489
1.93;471428.50;81502
1.93;383146.09;81515
2.41;431645.56;81527
1.93;494202.78;81541
2.02;519289.18;81554
2.32;431645.56;81566
1.83;547059.00;81580
2.12;494202.78;81592
2.22;431645.56;81605
1.93;547059.00;81618
2.22;471428.50;81631
2.12;494202.78;81644
1.73;547059.00;81656
2.22;450660.75;81670
2.12;471428.50;81683
1.83;547059.00;81695
2.90;431645.56;81709
1.93;471428.50;81721
1.93;547059.00;81734
2.32;431645.56;81746
1.93;519289.18;81760
2.02;519289.18;81773
2.22;431645.56;81785
1.73;612575.00;81799
2.12;471428.50;81811
2.22;431645.56;81824
1.73;547059.00;81838
2.22;494202.78;81850
2.02;383146.09;81863
1.53;577966.25;81875
2.32;431645.56;81889
2.02;431645.56;81902
1.83;612575.00;81914
2.22;431645.56;81928
1.93;494202.78;81940
1.93;414170.00;81953
2.32;494202.78;81967
1.83;431645.56;81979
2.12;494202.78;81992
2.22;431645.56;82004
1.73;547059.00;82018
2.12;471428.50;82031
2.02;431645.56;82043
1.73;547059.00;82057
